Наименование объявления,Город,Район,Количество станций метро рядом,Самый длогий путь до метро,Самый короткий путь до метро,Расттояние до центра,Площадь квартиры,Цена квартиры
"Продажа 1-комнатной квартиры 36,2 м², 16/33 этаж",Москва,СВАО,3,25,22,13.6,36.2,8422581
"Продажа 1-комнатной квартиры 41 м², 16/21 этаж",Москва,Новая Москва,3,29,14,29.2,41.0,8800000
"Продажа 2-комнатной квартиры 64,1 м², 8/12 этаж",Москва,Новая Москва,3,79,68,30.0,64.1,12999480
"Продажа 2-комнатной квартиры 61,3 м², 9/55 этаж",Москва,СВАО,3,30,7,6.6,61.3,21822800
"Продажа 1-комнатной квартиры 36,5 м², 20/23 этаж",Москва,САО,3,22,13,12.7,36.5,12750998
"Продажа 2-комнатной квартиры 50 м², 2/10 этаж",Москва,ЗАО,3,14,8,4.7,50.0,20400000
"Продажа 1-комнатной квартиры 48,7 м², 8/17 этаж",Москва,ЮАО,3,37,29,7.2,48.7,20259628
"Продажа 2-комнатной квартиры 53 м², 4/38 этаж",Москва,САО,3,25,8,13.1,53.0,20000000
"Продажа квартиры-студии 29,4 м², 6/14 этаж",Москва,Новая Москва,3,79,68,29.8,29.4,6844320
"Продажа 2-комнатной квартиры 46 м², 8/9 этаж",Москва,ЮВАО,3,17,13,10.1,46.0,11300000
"Продажа 2-комнатной квартиры 42,6 м², 1/9 этаж",Москва,СЗАО,3,29,8,8.9,42.6,13250000
"Продажа 2-комнатной квартиры 60,1 м², 4/9 этаж",Москва,ЗАО,3,28,9,12.2,60.1,17933860
"Продажа 2-комнатной квартиры 49,3 м², 13/16 этаж",Москва,Новая Москва,3,58,47,6.0,49.3,10600000
"Продажа 2-комнатной квартиры 51,4 м², 12/17 этаж",Москва,ЮВАО,3,33,27,20.5,51.4,10200000
"Продажа 3-комнатной квартиры 73,9 м², 2/33 этаж",Москва,СВАО,3,25,19,14.2,73.9,19221390
"Продажа 2-комнатной квартиры 42,3 м², 19/22 этаж",Москва,САО,3,30,16,13.5,42.3,14950000
"Продажа 3-комнатной квартиры 86,2 м², 11/15 этаж",Москва,ЮАО,3,28,24,6.2,86.2,36842052
"Продажа 3-комнатной квартиры 87,8 м², 19/22 этаж",Москва,Новая Москва,3,36,28,23.0,87.8,15406464
"Продажа квартиры-студии 23,6 м², 15/33 этаж",Москва,ВАО,3,19,11,9.8,23.6,6567880
"Продажа 1-комнатной квартиры 43,9 м², 27/32 этаж",Москва,САО,3,22,13,12.6,43.9,13651319
"Продажа 2-комнатной квартиры 70,3 м², 6/24 этаж",Москва,ЮАО,3,27,10,7.5,70.3,31876835
"Продажа 3-комнатной квартиры 83 м², 11/17 этаж",Москва,Новая Москва,3,29,25,23.5,83.0,16049933
"Продажа 1-комнатной квартиры 37 м², 3/12 этаж",Москва,ВАО,3,30,24,8.6,37.0,10200000
"Продажа 2-комнатной квартиры 65,7 м², 9/14 этаж",Москва,Новая Москва,3,34,26,22.0,65.7,13500000
"Продажа 1-комнатной квартиры 35,9 м², 22/28 этаж",Москва,СВАО,3,18,14,7.5,35.9,17430000
"Продажа 2-комнатной квартиры 62,9 м², 15/33 этаж",Москва,СВАО,3,28,19,10.9,62.9,14250624
"Продажа 2-комнатной квартиры 55 м², 40/53 этаж",Москва,СЗАО,3,28,12,16.4,55.0,20613369
"Продажа квартиры-студии 14,3 м², 1/5 этаж",Москва,СВАО,3,26,22,6.1,14.3,3400000
"Продажа 3-комнатной квартиры 92 м², 22/24 этаж",Москва,ЮВАО,3,28,4,10.7,92.0,23000000
"Продажа 1-комнатной квартиры 39,9 м², 10/24 этаж",Москва,САО,3,27,9,14.9,39.9,15990000
"Продажа 2-комнатной квартиры 59 м², 4/33 этаж",Москва,ВАО,3,19,12,10.5,59.0,15291832
"Продажа 2-комнатной квартиры 52,9 м², 7/13 этаж",Москва,СЗАО,3,30,13,13.9,52.9,16304309
"Продажа квартиры-студии 21,8 м², 4/24 этаж",Москва,СВАО,3,30,21,13.6,21.8,6227388
"Продажа 2-комнатной квартиры 69,4 м², 2/12 этаж",Москва,СЗАО,3,19,5,14.1,69.4,21000000
"Продажа 1-комнатной квартиры 38,7 м², 2/17 этаж",Москва,Новая Москва,3,29,9,24.8,38.7,9000000
"Продажа 2-комнатной квартиры 54 м², 12/12 этаж",Москва,Новая Москва,3,45,32,29.9,54.0,10500000
"Продажа квартиры-студии 26 м², 28/32 этаж",Москва,САО,3,25,8,13.1,26.0,13000000
"Продажа квартиры-студии 23,7 м², 2/38 этаж",Москва,ЮВАО,3,26,9,5.0,23.7,8108812
"Продажа квартиры-студии 20 м², 13/19 этаж",Москва,СЗАО,3,36,22,19.7,20.0,5216400
"Продажа 2-комнатной квартиры 62,8 м², 7/15 этаж",Москва,ЮАО,3,28,24,6.2,62.8,28678185
"Продажа 1-комнатной квартиры 34,8 м², 12/24 этаж",Москва,Новая Москва,3,35,26,21.3,34.8,8900000
"Продажа 1-комнатной квартиры 38 м², 9/17 этаж",Москва,СВАО,3,18,7,15.2,38.0,12300000
"Продажа 1-комнатной квартиры 35,4 м², 15/23 этаж",Москва,СВАО,3,30,12,6.2,35.4,15000000
"Продажа 2-комнатной квартиры 58,6 м², 9/15 этаж",Москва,СВАО,3,22,4,6.1,58.6,21000000
"Продажа 1-комнатной квартиры 41,7 м², 19/33 этаж",Москва,СВАО,3,25,19,14.2,41.7,11659320
"Продажа 3-комнатной квартиры 53,5 м², 1/5 этаж",Москва,СЗАО,3,27,11,9.7,53.5,12550000
"Продажа 1-комнатной квартиры 45 м², 13/14 этаж",Москва,СВАО,3,15,13,10.0,45.0,13900000
"Продажа 3-комнатной квартиры 80,1 м², 4/9 этаж",Москва,Новая Москва,3,79,68,29.8,80.1,15971940
"Продажа 1-комнатной квартиры 38,5 м², 6/20 этаж",Москва,СВАО,3,30,12,6.2,38.5,16500000
"Продажа 4-комнатной квартиры 80 м², 2/14 этаж",Москва,ЮАО,3,27,7,15.8,80.0,17800000
"Продажа 3-комнатной квартиры 90 м², 6/6 этаж",Москва,ЦАО,3,14,10,0.0,90.0,46900000
"Продажа 2-комнатной квартиры 43,6 м², 4/5 этаж",Москва,ЗАО,3,27,5,11.4,43.6,13100000
"Продажа квартиры-студии 19,2 м², 1/5 этаж",Москва,ЦАО,3,16,10,4.6,19.2,5070000
"Продажа 2-комнатной квартиры 59,5 м², 9/9 этаж",Москва,Новая Москва,3,79,68,29.7,59.5,11162200
"Продажа 3-комнатной квартиры 95,4 м², 7/17 этаж",Москва,Новая Москва,3,38,36,24.8,95.4,19900000
"Продажа 3-комнатной квартиры 73 м², 3/5 этаж",Москва,ЮАО,3,28,7,8.6,73.0,25000000
"Продажа 2-комнатной квартиры 64 м², 10/14 этаж",Москва,ЗАО,3,27,10,13.9,64.0,23500000
"Продажа 1-комнатной квартиры 32,2 м², 4/19 этаж",Москва,СЗАО,3,36,22,19.8,32.2,7029775
"Продажа 1-комнатной квартиры 35 м², 5/24 этаж",Москва,СЗАО,3,30,13,13.9,35.0,11658570
"Продажа 2-комнатной квартиры 59,6 м², 7/14 этаж",Москва,САО,3,47,39,24.8,59.6,12587520
"Продажа 1-комнатной квартиры 38 м², 11/17 этаж",Москва,ЮВАО,3,27,4,19.8,38.0,9680000
"Продажа 2-комнатной квартиры 77,7 м², 3/16 этаж",Москва,ЮАО,3,26,23,5.0,77.7,27000000
"Продажа квартиры-студии 29,3 м², 2/25 этаж",Москва,ВАО,3,34,25,10.8,29.3,10955270
"Продажа 2-комнатной квартиры 52,7 м², 3/13 этаж",Москва,СЗАО,3,30,13,13.9,52.7,16490567
"Продажа 3-комнатной квартиры 87,9 м², 9/11 этаж",Москва,СЗАО,3,29,20,6.7,87.9,32275188
"Продажа 1-комнатной квартиры 25,3 м², 4/29 этаж",Москва,ЮЗАО,3,17,14,11.2,25.3,9277510
"Продажа 1-комнатной квартиры 47,6 м², 8/15 этаж",Москва,СЗАО,3,27,9,10.4,47.6,26294240
"Продажа квартиры-студии 27,3 м², 18/21 этаж",Москва,САО,3,17,15,7.9,27.3,14229120
"Продажа 3-комнатной квартиры 53 м², 2/24 этаж",Москва,Новая Москва,3,37,28,21.3,53.0,16500000
"Продажа 2-комнатной квартиры 57 м², 14/16 этаж",Москва,ЗАО,3,27,13,11.7,57.0,17500000
"Продажа 3-комнатной квартиры 72,4 м², 26/33 этаж",Москва,ВАО,3,19,12,10.5,72.4,16792166
"Продажа 2-комнатной квартиры 61 м², 5/8 этаж",Москва,Новая Москва,3,75,64,,61.0,13139156
"Продажа 2-комнатной квартиры 61,2 м², 4/47 этаж",Москва,СВАО,3,25,15,5.8,61.2,20000000
"Продажа 1-комнатной квартиры 39,4 м², 12/24 этаж",Москва,ЮВАО,3,30,21,13.5,39.4,10600000
