Наименование объявления,Город,Район,Количество станций метро рядом,Самый длогий путь до метро,Самый короткий путь до метро,Расттояние до центра,Площадь квартиры,Цена квартиры
"Продажа квартиры-студии 19,9 м², 12/33 этаж",Москва,ВАО,3,19,11,9.8,19.9,6012347
"Продажа 1-комнатной квартиры 21 м², 3/4 этаж",Москва,СЗАО,3,23,14,15.5,21.0,5700000
"Продажа 2-комнатной квартиры 56,5 м², 12/22 этаж",Москва,Новая Москва,3,30,23,23.0,56.5,12119065
"Продажа 3-комнатной квартиры 57,7 м², 13/25 этаж",Москва,ВАО,3,34,25,10.8,57.7,19964200
"Продажа 2-комнатной квартиры 61 м², 27/30 этаж",Москва,СЗАО,3,21,10,11.1,61.0,24590751
"Продажа 1-комнатной квартиры 42,1 м², 33/33 этаж",Москва,ВАО,3,19,12,10.6,42.1,12542146
"Продажа 2-комнатной квартиры 98 м², 3/21 этаж",Москва,ЦАО,3,24,10,4.4,98.0,83000000
"Продажа 2-комнатной квартиры 40,2 м², 32/33 этаж",Москва,ВАО,3,19,12,10.6,40.2,11882476
"Продажа 2-комнатной квартиры 55,8 м², 28/53 этаж",Москва,СЗАО,3,28,12,16.4,55.8,21218010
"Продажа 1-комнатной квартиры 57 м², 13/24 этаж",Москва,ЮА,3,28,11,7.5,57.0,27874428
"Продажа 1-комнатной квартиры 44,9 м², 2/29 этаж",Москва,ЮЗАО,3,17,14,11.2,44.9,14426370
"Продажа 2-комнатной квартиры 44 м², 7/9 этаж",Москва,ВАО,3,29,26,13.3,44.0,9600000
"Продажа 2-комнатной квартиры 82,2 м², 19/28 этаж",Москва,ЮАО,3,37,29,7.4,82.2,31276609
"Продажа 3-комнатной квартиры 59 м², 5/9 этаж",Москва,ЮАО,3,28,20,8.6,59.0,15100000
"Продажа 1-комнатной квартиры 47,9 м², 15/28 этаж",Москва,СВАО,3,27,13,11.7,47.9,14849000
"Продажа 2-комнатной квартиры 45,7 м², 14/29 этаж",Москва,ЮЗАО,3,17,14,11.2,45.7,14194420
"Продажа 1-комнатной квартиры 43 м², 2/12 этаж",Москва,Новая Москва,3,23,11,16.5,43.0,14500000
"Продажа 2-комнатной квартиры 53,8 м², 23/27 этаж",Москва,ЮАО,3,27,19,7.9,53.8,19339098
"Продажа 2-комнатной квартиры 64 м², 1/8 этаж",Москва,ЮЗАО,3,25,9,9.0,64.0,22450000
"Продажа 2-комнатной квартиры 62,4 м², 5/14 этаж",Москва,ЮЗАО,3,27,17,11.9,62.4,21900000
"Продажа 1-комнатной квартиры 33,7 м², 18/26 этаж",Москва,ЮАО,3,27,19,7.9,33.7,14663602
"Продажа 3-комнатной квартиры 73,8 м², 6/14 этаж",Москва,ЗАО,3,14,9,9.4,73.8,25500000
"Продажа 1-комнатной квартиры 15,3 м², 4/9 этаж",Москва,Зеленоград,3,64,53,814.0,15.3,4820000
"Продажа квартиры-студии 26,1 м², 4/23 этаж",Москва,САО,3,22,13,12.7,26.1,9922766
"Продажа 1-комнатной квартиры 52,3 м², 5/22 этаж",Москва,СЗАО,3,27,13,14.1,52.3,29617490
"Продажа 2-комнатной квартиры 55,2 м², 3/12 этаж",Москва,ВАО,3,24,19,9.6,55.2,13800000
"Продажа 4-комнатной квартиры 120 м², 22/25 этаж",Москва,САО,3,18,12,5.3,120.0,58000000
"Продажа 2-комнатной квартиры 55 м², 3/5 этаж",Москва,СВАО,3,26,22,6.1,55.0,14500000
"Продажа квартиры-студии 30,1 м², 8/15 этаж",Москва,Новая Москва,3,79,68,29.7,30.1,6974170
"Продажа квартиры-студии 29,1 м², 9/13 этаж",Москва,СЗАО,3,27,9,11.0,29.1,18344640
"Продажа 3-комнатной квартиры 118,2 м², 11/32 этаж",Москва,ЮАО,3,24,10,0.0,118.2,59395736
"Продажа 2-комнатной квартиры 91,1 м², 3/7 этаж",Москва,СЗАО,3,27,13,14.1,91.1,36713300
"Продажа квартиры-студии 28,1 м², 14/28 этаж",Москва,СЗАО,3,24,4,10.8,28.1,8500000
"Продажа 1-комнатной квартиры 35,3 м², 5/12 этаж",Москва,СЗАО,3,23,9,17.1,35.3,10300000
"Продажа 2-комнатной квартиры 50,1 м², 3/22 этаж",Москва,ЮАО,3,26,20,8.9,50.1,12845840
"Продажа 2-комнатной квартиры 56 м², 6/32 этаж",Москва,ЗАО,3,16,9,7.4,56.0,17649408
"Продажа 2-комнатной квартиры 50 м², 5/17 этаж",Москва,Новая Москва,3,24,13,21.0,50.0,12800000
"Продажа 2-комнатной квартиры 51 м², 27/33 этаж",Москва,ЗАО,3,29,10,14.8,51.0,15600000
"Продажа 1-комнатной квартиры 36,8 м², 22/32 этаж",Москва,СВАО,3,28,20,15.6,36.8,8457228
"Продажа 2-комнатной квартиры 49,1 м², 8/14 этаж",Москва,Новая Москва,3,48,45,29.1,49.1,10948205
"Продажа 1-комнатной квартиры 37,3 м², 13/23 этаж",Москва,ЮВАО,3,30,20,7.1,37.3,10304721
"Продажа 2-комнатной квартиры 59,6 м², 11/14 этаж",Москва,САО,3,47,39,24.8,59.6,12617320
"Продажа 2-комнатной квартиры 55,1 м², 15/18 этаж",Москва,ЮАО,3,16,7,18.0,55.1,14900000
"Продажа 1-комнатной квартиры 32,8 м², 7/22 этаж",Москва,Новая Москва,3,37,28,21.5,32.8,7970400
"Продажа 1-комнатной квартиры 33,3 м², 11/21 этаж",Москва,Новая Москва,3,37,28,21.4,33.3,8558100
"Продажа 3-комнатной квартиры 72,8 м², 9/24 этаж",Москва,САО,3,69,47,27.5,72.8,11000000
"Продажа 3-комнатной квартиры 64 м², 10/12 этаж",Москва,ЮАО,3,20,12,16.3,64.0,14800000
"Продажа 2-комнатной квартиры 48,4 м², 8/9 этаж",Москва,ЗАО,3,30,20,14.2,48.4,12900000
"Продажа 1-комнатной квартиры 33,4 м², 15/22 этаж",Москва,ЮВАО,3,30,25,7.3,33.4,9700000
"Продажа 1-комнатной квартиры 36 м², 14/22 этаж",Москва,САО,3,30,16,13.5,36.0,13200000
"Продажа 2-комнатной квартиры 50,4 м², 7/29 этаж",Москва,ЮЗАО,3,17,14,11.2,50.4,15951600
"Продажа 3-комнатной квартиры 87,8 м², 7/16 этаж",Москва,ЮАО,3,26,17,6.2,87.8,38972137
"Продажа квартиры-студии 16,1 м², 3/5 этаж",Москва,ВАО,3,27,19,13.0,16.1,6100000
"Продажа 1-комнатной квартиры 35,6 м², 14/32 этаж",Москва,САО,3,22,13,12.6,35.6,13625081
"Продажа квартиры-студии 18,8 м², 2/25 этаж",Москва,ВАО,3,34,25,10.7,18.8,7110160
"Продажа многокомнатной квартиры 146 м², 2/7 этаж",Москва,ЦАО,3,14,12,0.0,146.0,125000000
"Продажа 4-комнатной квартиры 118,4 м², 2/16 этаж",Москва,ЗАО,3,30,14,12.8,118.4,29800000
"Продажа 2-комнатной квартиры 82 м², 10/15 этаж",Москва,ЮАО,3,29,23,16.7,82.0,16000000
"Продажа 1-комнатной квартиры 33,3 м², 4/21 этаж",Москва,Новая Москва,3,37,28,21.4,33.3,7892100
"Продажа 1-комнатной квартиры 43,8 м², 6/14 этаж",Москва,Новая Москва,3,79,68,29.8,43.8,9211140
"Продажа 1-комнатной квартиры 42,1 м², 35/54 этаж",Москва,САО,3,21,10,6.7,42.1,18548744
"Продажа 1-комнатной квартиры 44,4 м², 16/28 этаж",Москва,ЗАО,3,32,28,6.8,44.4,14980000
"Продажа 2-комнатной квартиры 50,5 м², 2/24 этаж",Москва,СЗАО,3,30,13,13.9,50.5,16148587
"Продажа квартиры-студии 15,9 м², 5/5 этаж",Москва,ЮВАО,3,25,13,9.8,15.9,5286440
"Продажа 2-комнатной квартиры 38 м², 15/15 этаж",Москва,ЮВАО,3,29,4,8.6,38.0,16000000
"Продажа 3-комнатной квартиры 70 м², 10/18 этаж",Москва,САО,3,21,11,5.1,70.0,39000000
"Продажа 2-комнатной квартиры 60,6 м², 3/11 этаж",Москва,ЮАО,3,37,29,7.5,60.6,22078273
"Продажа 1-комнатной квартиры 31,7 м², 5/23 этаж",Москва,ЮВАО,3,29,16,20.3,31.7,8250000
"Продажа 2-комнатной квартиры 59,7 м², 12/21 этаж",Москва,СВАО,3,18,14,7.5,59.7,26400000
"Продажа 2-комнатной квартиры 50,7 м², 9/9 этаж",Москва,Новая Москва,3,62,52,29.6,50.7,8440000
"Продажа 2-комнатной квартиры 44,2 м², 3/6 этаж",Москва,САО,3,22,8,8.0,44.2,17000000
"Продажа квартиры-студии 25,4 м², 7/14 этаж",Москва,Новая Москва,3,75,64,,25.4,6871716
"Продажа квартиры-студии 22,5 м², 3/24 этаж",Москва,СЗАО,3,30,13,13.9,22.5,7675605
"Продажа 1-комнатной квартиры 35,7 м², 6/21 этаж",Москва,Новая Москва,3,37,28,21.4,35.7,8532300
"Продажа квартиры-студии 18,7 м², 13/14 этаж",Москва,САО,3,25,13,9.3,18.7,6500000
"Продажа квартиры-студии 17,7 м², 1/9 этаж",Москва,САО,3,25,11,13.3,17.7,6200000
"Продажа 1-комнатной квартиры 33 м², 11/12 этаж",Москва,ЮАО,3,22,15,18.1,33.0,9300000
"Продажа 3-комнатной квартиры 86,7 м², 4/17 этаж",Москва,Новая Москва,3,29,25,23.6,86.7,17804332
"Продажа 2-комнатной квартиры 78 м², 28/79 этаж",Москва,ЦАО,3,12,6,5.5,78.0,55000000
"Продажа 3-комнатной квартиры 78,5 м², 3/33 этаж",Москва,ЗАО,3,20,13,13.4,78.5,27010123
"Продажа 1-комнатной квартиры 34,7 м², 5/33 этаж",Москва,ЮАО,3,26,20,8.8,34.7,9759166
"Продажа 1-комнатной квартиры 41,6 м², 13/20 этаж",Москва,ЮЗАО,3,28,18,13.2,41.6,15300000
"Продажа 1-комнатной квартиры 32,3 м², 6/33 этаж",Москва,ЮАО,3,25,7,18.5,32.3,7962758
"Продажа 2-комнатной квартиры 37,1 м², 1/9 этаж",Москва,ЦАО,3,24,4,4.2,37.1,14900000
"Продажа 1-комнатной квартиры 25,6 м², 4/29 этаж",Москва,ЮЗАО,3,17,14,11.2,25.6,9646080
"Продажа 1-комнатной квартиры 26 м², 8/9 этаж",Москва,ЮВАО,3,28,14,12.6,26.0,7410000
"Продажа 3-комнатной квартиры 76,7 м², 4/17 этаж",Москва,ВАО,3,25,10,11.5,76.7,21000000
"Продажа 1-комнатной квартиры 36,3 м², 9/9 этаж",Москва,ЮАО,3,26,15,18.3,36.3,9200000
"Продажа 2-комнатной квартиры 65,1 м², 2/23 этаж",Москва,САО,3,22,13,12.7,65.1,16448166
"Продажа 1-комнатной квартиры 35,2 м², 6/9 этаж",Москва,ЮЗАО,3,24,13,8.4,35.2,10000000
"Продажа квартиры-студии 29,3 м², 6/29 этаж",Москва,ЗАО,3,26,22,7.1,29.3,13500000
"Продажа 3-комнатной квартиры 82,3 м², 5/36 этаж",Москва,САО,3,21,10,6.7,82.3,37877405
"Продажа квартиры-студии 22,3 м², 13/25 этаж",Москва,САО,3,18,9,5.8,22.3,10800000
"Продажа 2-комнатной квартиры 52,2 м², 12/17 этаж",Москва,ЮЗАО,3,25,22,26.4,52.2,9205574
"Продажа 3-комнатной квартиры 93,8 м², 33/54 этаж",Москва,САО,3,21,10,6.7,93.8,34161165
"Продажа 4-комнатной квартиры 106,6 м², 14/14 этаж",Москва,ЮАО,3,30,12,7.4,106.6,52620724
"Продажа 3-комнатной квартиры 124 м², 14/32 этаж",Москва,ЮАО,3,24,10,0.0,124.0,66601888
"Продажа 1-комнатной квартиры 32 м², 3/8 этаж",Москва,ВАО,3,23,10,10.3,32.0,11750000
"Продажа квартиры-студии 21,6 м², 33/33 этаж",Москва,СВАО,3,28,19,10.8,21.6,6598195
"Продажа 1-комнатной квартиры 29,6 м², 1/36 этаж",Москва,СВАО,3,24,15,10.3,29.6,8302800
"Продажа 1-комнатной квартиры 39 м², 7/26 этаж",Москва,ЮАО,3,24,19,4.4,39.0,16850000
"Продажа 4-комнатной квартиры 62 м², 13/14 этаж",Москва,Новая Москва,3,46,19,22.3,62.0,13850000
"Продажа 1-комнатной квартиры 38,6 м², 1/15 этаж",Москва,СЗАО,3,30,13,14.3,38.6,12365973
"Продажа 2-комнатной квартиры 66,2 м², 2/32 этаж",Москва,ЗАО,3,16,9,7.4,66.2,20495520
"Продажа 2-комнатной квартиры 70 м², 11/15 этаж",Москва,САО,3,20,11,5.1,70.0,27000000
"Продажа 2-комнатной квартиры 54,2 м², 7/10 этаж",Москва,ЮЗАО,3,13,5,23.7,54.2,12100000
"Продажа 1-комнатной квартиры 31,5 м², 19/32 этаж",Москва,СЗАО,3,29,20,6.7,31.5,19493904
"Продажа 3-комнатной квартиры 79,3 м², 13/17 этаж",Москва,ЮЗАО,3,19,11,13.8,79.3,23300000
"Продажа 4-комнатной квартиры 107,7 м², 22/32 этаж",Москва,СЗАО,3,29,20,6.7,107.7,48134288
"Продажа 2-комнатной квартиры 55,1 м², 12/12 этаж",Москва,Новая Москва,3,50,49,29.3,55.1,11500000
"Продажа 4-комнатной квартиры 87,5 м², 16/32 этаж",Москва,СЗАО,3,28,12,6.7,87.5,32486362
"Продажа 2-комнатной квартиры 72,6 м², 4/24 этаж",Москва,ЮА,3,28,11,7.5,72.6,32723281
"Продажа 2-комнатной квартиры 57 м², 7/8 этаж",Москва,СВАО,3,23,17,7.5,57.0,23000000
"Продажа квартиры-студии 19,6 м², 10/17 этаж",Москва,Новая Москва,3,19,6,21.3,19.6,8300000
"Продажа 1-комнатной квартиры 39,8 м², 13/22 этаж",Москва,СЗАО,1,16,16,13.8,39.8,12300000
"Продажа 2-комнатной квартиры 46,2 м², 24/33 этаж",Москва,ВАО,3,19,11,9.8,46.2,11412324
"Продажа 1-комнатной квартиры 34,3 м², 4/14 этаж",Москва,Новая Москва,3,62,52,29.4,34.3,6438727
"Продажа квартиры-студии 20 м², 33/38 этаж",Москва,ЮВАО,3,26,9,5.0,20.0,7411063
"Продажа квартиры-студии 29 м², 12/16 этаж",Москва,ЗАО,3,19,16,6.8,29.0,11900000
"Продажа квартиры-студии 31,9 м², 16/31 этаж",Москва,САО,3,25,10,12.4,31.9,12032285
"Продажа 1-комнатной квартиры 39 м², 3/14 этаж",Москва,ЮАО,3,29,14,13.2,39.0,12000000
"Продажа 1-комнатной квартиры 32,1 м², 13/33 этаж",Москва,СВАО,3,28,19,10.9,32.1,8804131
"Продажа 2-комнатной квартиры 65,1 м², 35/40 этаж",Москва,ЮЗАО,3,15,10,10.8,65.1,39000000
"Продажа квартиры-студии 20,7 м², 12/33 этаж",Москва,ЮЗАО,3,29,16,22.5,20.7,10000000
"Продажа 1-комнатной квартиры 38 м², 8/14 этаж",Москва,ВАО,3,24,15,12.0,38.0,11500000
"Продажа 2-комнатной квартиры 53,2 м², 9/9 этаж",Москва,Новая Москва,3,29,25,23.7,53.2,12009857
"Продажа квартиры-студии 15 м², 2/4 этаж",Москва,ЦАО,3,21,15,4.9,15.0,5475000
"Продажа 3-комнатной квартиры 59,2 м², 8/9 этаж",Москва,ЮЗАО,3,17,2,17.3,59.2,15000000
"Продажа квартиры-студии 20 м², 4/33 этаж",Москва,ЮАО,3,25,7,18.5,20.0,5604480
"Продажа 2-комнатной квартиры 40 м², 1/14 этаж",Москва,ЦАО,3,11,6,0.0,40.0,17000000
"Продажа 1-комнатной квартиры 39,6 м², 10/25 этаж",Москва,Новая Москва,3,33,25,23.9,39.6,10100000
"Продажа 1-комнатной квартиры 32,5 м², 22/25 этаж",Москва,СВАО,3,27,11,12.0,32.5,10424505
"Продажа квартиры-студии 23,1 м², 1/5 этаж",Москва,ЦАО,3,9,6,0.0,23.1,16000000
"Продажа 2-комнатной квартиры 60,7 м², 10/14 этаж",Москва,Новая Москва,3,75,64,,60.7,12779535
"Продажа 1-комнатной квартиры 40,7 м², 15/52 этаж",Москва,ЦАО,3,22,7,6.2,40.7,28899000
"Продажа 2-комнатной квартиры 72,1 м², 18/21 этаж",Москва,ЮВАО,3,26,17,4.3,72.1,33930260
"Продажа 2-комнатной квартиры 57,9 м², 8/24 этаж",Москва,СЗАО,3,36,22,19.4,57.9,12347522
"Продажа 2-комнатной квартиры 56 м², 9/14 этаж",Москва,ВАО,3,30,6,12.5,56.0,13000000
"Продажа 1-комнатной квартиры 38,3 м², 33/54 этаж",Москва,САО,3,21,10,6.7,38.3,17376084
"Продажа 1-комнатной квартиры 32 м², 8/9 этаж",Москва,СЗАО,3,24,13,16.1,32.0,9800000
"Продажа квартиры-студии 15,3 м², 1/9 этаж",Москва,ЮАО,3,23,13,4.9,15.3,5459750
"Продажа 3-комнатной квартиры 83 м², 9/15 этаж",Москва,ЮАО,3,21,9,5.9,83.0,28700000
"Продажа 1-комнатной квартиры 38,9 м², 1/12 этаж",Москва,ЮВАО,3,44,36,17.0,38.9,7500000
"Продажа 1-комнатной квартиры 38,5 м², 13/32 этаж",Москва,ЗАО,3,16,9,7.4,38.5,14155680
"Продажа квартиры-студии 18,2 м², 15/25 этаж",Москва,ВАО,3,34,25,10.7,18.2,8133580
"Продажа многокомнатной квартиры 89,2 м², 48/59 этаж",Москва,САО,3,14,3,6.8,89.2,35900000
"Продажа квартиры-студии 21,2 м², 9/9 этаж",Москва,Новая Москва,3,62,52,29.6,21.2,4546022
"Продажа 2-комнатной квартиры 57,5 м², 13/16 этаж",Москва,Новая Москва,3,35,28,20.5,57.5,11900000
"Продажа 1-комнатной квартиры 44,6 м², 30/53 этаж",Москва,СЗАО,3,28,12,16.4,44.6,17566684
"Продажа 1-комнатной квартиры 35 м², 15/29 этаж",Москва,САО,3,19,9,13.4,35.0,14000000
"Продажа 3-комнатной квартиры 117,9 м², 21/30 этаж",Москва,Новая Москва,3,20,9,23.1,117.9,45000000
"Продажа 3-комнатной квартиры 76,5 м², 1/22 этаж",Москва,Новая Москва,3,30,23,23.0,76.5,13562604
"Продажа 1-комнатной квартиры 31,8 м², 15/22 этаж",Москва,Новая Москва,3,37,28,21.5,31.8,8458800
"Продажа 1-комнатной квартиры 36,7 м², 13/15 этаж",Москва,ЮАО,3,27,9,7.4,36.7,13000000
"Продажа 3-комнатной квартиры 75 м², 8/17 этаж",Москва,ЮЗАО,3,20,5,15.1,75.0,23000000
"Продажа 2-комнатной квартиры 49 м², 33/38 этаж",Москва,ЮВАО,3,26,9,5.0,49.0,14300160
"Продажа 2-комнатной квартиры 56,4 м², 21/40 этаж",Москва,СЗАО,3,27,17,9.5,56.4,27500000
"Продажа 2-комнатной квартиры 65,5 м², 22/40 этаж",Москва,ЮАО,3,25,11,6.1,65.5,24977966
"Продажа квартиры-студии 29,4 м², 16/28 этаж",Москва,ЮАО,3,21,4,8.9,29.4,13490000
"Продажа 1-комнатной квартиры 36,6 м², 14/15 этаж",Москва,Новая Москва,3,38,27,23.6,36.6,9500000
"Продажа 2-комнатной квартиры 64,6 м², 16/17 этаж",Москва,ЮВАО,3,29,22,7.5,64.6,14343008
"Продажа 1-комнатной квартиры 41,5 м², 2/33 этаж",Москва,ЮАО,3,26,20,8.8,41.5,10770578
"Продажа 1-комнатной квартиры 40 м², 46/53 этаж",Москва,СЗАО,3,28,12,16.4,40.0,17045363
"Продажа 1-комнатной квартиры 44,4 м², 3/24 этаж",Москва,ВАО,3,20,10,13.0,44.4,12900000
"Продажа 3-комнатной квартиры 80 м², 6/12 этаж",Москва,СЗАО,3,30,27,11.4,80.0,26590000
"Продажа 4-комнатной квартиры 130,5 м², 19/21 этаж",Москва,СВАО,3,20,12,9.5,130.5,74324000
"Продажа 2-комнатной квартиры 52 м², 11/12 этаж",Москва,ЮВАО,3,30,14,13.2,52.0,12700000
"Продажа 1-комнатной квартиры 44,8 м², 9/30 этаж",Москва,ЮВАО,3,18,9,5.9,44.8,15500000
"Продажа 2-комнатной квартиры 51,3 м², 3/12 этаж",Москва,ЮЗАО,3,24,19,9.7,51.3,14300000
"Продажа 2-комнатной квартиры 48,4 м², 5/13 этаж",Москва,Новая Москва,3,53,27,311.0,48.4,8800000
"Продажа 2-комнатной квартиры 61,5 м², 24/28 этаж",Москва,СВАО,3,27,13,11.7,61.5,19065000
"Продажа 2-комнатной квартиры 44 м², 17/17 этаж",Москва,ЮВАО,3,29,22,7.5,44.0,10220056
"Продажа квартиры-студии 27,9 м², 9/15 этаж",Москва,САО,3,47,39,24.9,27.9,8855460
"Продажа 3-комнатной квартиры 79 м², 17/18 этаж",Москва,ЮЗАО,3,25,17,10.5,79.0,25500000
"Продажа 1-комнатной квартиры 37,2 м², 5/19 этаж",Москва,ЮЗАО,3,29,16,21.8,37.2,11400000
"Продажа квартиры-студии 25,7 м², 9/14 этаж",Москва,Новая Москва,3,75,64,,25.7,7091658
"Продажа 1-комнатной квартиры 44,9 м², 14/35 этаж",Москва,ЮАО,3,30,12,7.4,44.9,18984780
"Продажа 3-комнатной квартиры 121 м², 19/34 этаж",Москва,САО,3,26,8,7.6,121.0,43950000
"Продажа 1-комнатной квартиры 40,6 м², 3/22 этаж",Москва,ЮАО,3,26,20,8.9,40.6,10615438
"Продажа 1-комнатной квартиры 27,8 м², 3/14 этаж",Москва,ЗАО,3,33,19,8.8,27.8,17700000
"Продажа 2-комнатной квартиры 55,4 м², 4/25 этаж",Москва,ВАО,3,34,25,10.8,55.4,17345740
"Продажа квартиры-студии 14,6 м², 1/5 этаж",Москва,ВАО,3,23,17,8.4,14.6,5200000
"Продажа 2-комнатной квартиры 65,5 м², 14/23 этаж",Москва,Новая Москва,3,23,6,22.5,65.5,13100000
"Продажа квартиры-студии 24,2 м², 4/4 этаж",Москва,ЦАО,3,13,9,4.1,24.2,8490000
"Продажа 1-комнатной квартиры 32,5 м², 4/38 этаж",Москва,ЮВАО,3,26,9,5.0,32.5,10570560
"Продажа 3-комнатной квартиры 86,7 м², 6/27 этаж",Москва,ЮАО,3,24,19,4.4,86.7,35000000
"Продажа 2-комнатной квартиры 53,6 м², 21/53 этаж",Москва,СЗАО,3,28,12,16.4,53.6,19357715
"Продажа 4-комнатной квартиры 144,5 м², 16/38 этаж",Москва,ЗАО,3,27,15,8.5,144.5,86700000
"Продажа 2-комнатной квартиры 73 м², 13/33 этаж",Москва,ЮВАО,3,25,15,9.9,73.0,16671395
"Продажа 1-комнатной квартиры 44,5 м², 10/20 этаж",Москва,ЗАО,3,21,10,6.6,44.5,25800000
"Продажа 3-комнатной квартиры 92,2 м², 6/13 этаж",Москва,СЗАО,3,30,13,13.9,92.2,28317570
"Продажа квартиры-студии 20,2 м², 24/30 этаж",Москва,ЮАО,3,15,3,17.5,20.2,9000000
"Продажа квартиры-студии 25,1 м², 13/13 этаж",Москва,Новая Москва,3,29,21,22.7,25.1,12000000
"Продажа 2-комнатной квартиры 64,1 м², 2/14 этаж",Москва,Новая Москва,3,79,68,30.0,64.1,11454670
"Продажа 2-комнатной квартиры 65,5 м², 15/15 этаж",Москва,СВАО,3,27,11,12.0,65.5,18461044
"Продажа 1-комнатной квартиры 43,7 м², 14/28 этаж",Москва,СВАО,3,18,14,7.5,43.7,20060000
"Продажа квартиры-студии 25,7 м², 3/14 этаж",Москва,Новая Москва,3,75,64,,25.7,6814098
"Продажа 2-комнатной квартиры 65,8 м², 27/32 этаж",Москва,ЮАО,3,21,16,4.1,65.8,32060657
"Продажа 4-комнатной квартиры 80,5 м², 1/7 этаж",Москва,ЦАО,3,13,7,0.0,80.5,38000000
"Продажа квартиры-студии 19,9 м², 8/33 этаж",Москва,ВАО,3,19,11,9.8,19.9,6050794
"Продажа 1-комнатной квартиры 38,9 м², 6/18 этаж",Москва,ЮАО,3,23,22,17.9,38.9,8300000
"Продажа 2-комнатной квартиры 53,3 м², 30/43 этаж",Москва,СЗАО,3,28,26,15.5,53.3,20914920
"Продажа 2-комнатной квартиры 53,7 м², 5/16 этаж",Москва,ЗАО,3,29,16,14.2,53.7,14700000
"Продажа 3-комнатной квартиры 86,5 м², 7/8 этаж",Москва,ЮЗАО,3,26,16,10.4,86.5,27850000
"Продажа квартиры-студии 17,9 м², 7/9 этаж",Москва,САО,3,20,15,8.3,17.9,6837800
"Продажа 3-комнатной квартиры 72,2 м², 25/33 этаж",Москва,ВАО,3,41,38,11.1,72.2,16028400
"Продажа 3-комнатной квартиры 62,2 м², 4/36 этаж",Москва,САО,3,24,11,12.2,62.2,18300000
"Продажа 2-комнатной квартиры 56,3 м², 3/12 этаж",Москва,Новая Москва,3,56,45,5.0,56.3,10880000
"Продажа 2-комнатной квартиры 72 м², 11/11 этаж",Москва,Новая Москва,3,24,11,16.3,72.0,19500000
"Продажа 2-комнатной квартиры 44 м², 7/9 этаж",Москва,ЮАО,3,22,11,15.7,44.0,12500000
"Продажа 3-комнатной квартиры 96 м², 14/78 этаж",Москва,ЦАО,3,12,6,5.5,96.0,98000000
"Продажа квартиры-студии 25 м², 4/22 этаж",Москва,САО,3,25,7,14.8,25.0,8300000
"Продажа 1-комнатной квартиры 42,1 м², 6/24 этаж",Москва,СЗАО,3,30,13,14.3,42.1,14093732
"Продажа 2-комнатной квартиры 65,9 м², 7/33 этаж",Москва,СВАО,3,28,19,10.9,65.9,15581923
"Продажа 1-комнатной квартиры 33,8 м², 13/23 этаж",Москва,ЮВАО,3,30,20,7.1,33.8,9131272
"Продажа 2-комнатной квартиры 48 м², 1/9 этаж",Москва,ЮЗАО,3,26,15,8.9,48.0,15000000
"Продажа 2-комнатной квартиры 51 м², 16/16 этаж",Москва,САО,3,18,15,8.2,51.0,13500000
"Продажа 1-комнатной квартиры 57,1 м², 3/24 этаж",Москва,ЮА,3,28,11,7.5,57.1,27410596
"Продажа 2-комнатной квартиры 58,7 м², 33/33 этаж",Москва,ВАО,3,19,12,10.5,58.7,15096700
"Продажа 1-комнатной квартиры 39 м², 1/3 этаж",Москва,Новая Москва,3,76,66,274.0,39.0,5727500
"Продажа квартиры-студии 21,8 м², 16/33 этаж",Москва,ЮАО,3,26,20,8.8,21.8,6632519
"Продажа 2-комнатной квартиры 62 м², 9/11 этаж",Москва,СЗАО,3,19,5,14.1,62.0,20000000
"Продажа 1-комнатной квартиры 41,6 м², 26/55 этаж",Москва,СВАО,3,30,7,6.6,41.6,16182400
"Продажа 2-комнатной квартиры 72,6 м², 5/9 этаж",Москва,Новая Москва,3,64,57,12.0,72.6,7882999
"Продажа квартиры-студии 25,7 м², 31/33 этаж",Москва,САО,3,26,12,12.5,25.7,9391859
"Продажа 3-комнатной квартиры 81 м², 22/32 этаж",Москва,СЗАО,3,36,22,19.9,81.0,14255676
"Продажа квартиры-студии 23,7 м², 11/38 этаж",Москва,ЮВАО,3,26,9,5.0,23.7,7909656
"Продажа 1-комнатной квартиры 32,5 м², 33/33 этаж",Москва,ВАО,3,19,12,10.5,32.5,9472320
"Продажа 1-комнатной квартиры 40 м², 19/25 этаж",Москва,ЮВАО,3,26,17,4.3,40.0,15586000
"Продажа 3-комнатной квартиры 68,3 м², 5/8 этаж",Москва,ЦАО,3,16,8,4.5,68.3,27990000
"Продажа 2-комнатной квартиры 73,4 м², 3/11 этаж",Москва,ЮАО,3,37,29,7.4,73.4,28603728
"Продажа 1-комнатной квартиры 37,5 м², 3/10 этаж",Москва,ЮВАО,3,28,24,14.2,37.5,11750000
"Продажа 2-комнатной квартиры 41 м², 11/22 этаж",Москва,Зеленоград,3,57,44,371.0,41.0,10700000
"Продажа 2-комнатной квартиры 32 м², 8/31 этаж",Москва,САО,3,25,10,12.4,32.0,13179522
"Продажа квартиры-студии 25,7 м², 9/14 этаж",Москва,Новая Москва,3,75,64,,25.7,6952878
"Продажа 1-комнатной квартиры 38,3 м², 19/36 этаж",Москва,САО,3,21,10,6.7,38.3,19849867
"Продажа 1-комнатной квартиры 38 м², 11/17 этаж",Москва,ЮВАО,3,24,14,19.6,38.0,8300000
